date,OPEP_oil_price
2014-09-17,95.84
2014-09-16,95.30
2014-09-15,94.68
2014-09-12,95.68
2014-09-11,95.35
2014-09-10,95.93
2014-09-09,96.99
2014-09-08,97.00
2014-09-05,98.38
2014-09-04,99.15
2014-09-03,98.66
2014-09-02,98.95
2014-09-01,100.10
2014-08-29,99.99
2014-08-28,99.97
2014-08-27,100.06
2014-08-26,99.82
2014-08-25,99.09
2014-08-22,99.19
2014-08-21,99.03
2014-08-20,99.52
2014-08-19,98.93
2014-08-18,99.42
2014-08-15,99.94
2014-08-14,100.99
2014-08-13,100.88
2014-08-12,101.66
2014-08-11,102.29
2014-08-08,103.10
2014-08-07,102.22
2014-08-06,102.05
2014-08-05,102.23
2014-08-04,102.58
2014-08-01,102.89
2014-07-31,103.60
2014-07-30,105.21
2014-07-29,105.44
2014-07-28,105.11
2014-07-25,105.31
2014-07-24,105.22
2014-07-23,105.30
2014-07-22,105.74
2014-07-21,105.07
2014-07-18,105.54
2014-07-17,105.04
2014-07-16,104.44
2014-07-15,103.65
2014-07-14,104.12
2014-07-11,104.87
2014-07-10,105.16
2014-07-09,105.49
2014-07-08,106.25
2014-07-07,106.89
2014-07-04,107.34
2014-07-03,107.17
2014-07-02,108.35
2014-07-01,108.68
2014-06-30,108.59
2014-06-27,109.17
2014-06-26,109.38
2014-06-25,109.63
2014-06-24,109.62
2014-06-23,110.30
2014-06-20,110.48
2014-06-19,110.26
2014-06-18,109.60
2014-06-17,108.81
2014-06-16,109.09
2014-06-13,109.31
2014-06-12,107.46
2014-06-11,106.02
2014-06-10,105.89
2014-06-09,105.72
2014-06-06,105.38
2014-06-05,104.73
2014-06-04,105.56
2014-06-03,105.14
2014-06-02,105.60
2014-05-30,105.91
2014-05-29,106.45
2014-05-28,106.35
2014-05-27,106.79
2014-05-26,106.73
2014-05-23,106.92
2014-05-22,107.00
2014-05-21,106.82
2014-05-20,106.18
2014-05-19,106.43
2014-05-16,105.95
2014-05-15,105.66
2014-05-14,105.62
2014-05-13,104.50
2014-05-12,104.21
2014-05-09,104.46
2014-05-08,103.94
2014-05-07,103.68
2014-05-06,103.69
2014-05-05,104.35
2014-05-02,104.25
2014-05-01,103.77
2014-04-30,103.95
2014-04-29,104.95
2014-04-28,105.43
2014-04-25,105.37
2014-04-24,105.20
2014-04-23,104.99
2014-04-22,105.19
2014-04-21,105.34
2014-04-17,105.53
2014-04-16,106.06
2014-04-15,105.21
2014-04-14,104.81
2014-04-11,104.07
2014-04-10,104.33
2014-04-09,104.22
2014-04-08,103.16
2014-04-07,102.16
2014-04-04,103.12
2014-04-03,101.57
2014-04-02,101.72
2014-04-01,103.25
2014-03-31,104.08
2014-03-28,104.27
2014-03-27,103.79
2014-03-26,103.62
2014-03-25,103.39
2014-03-24,103.13
2014-03-21,103.30
2014-03-20,102.37
2014-03-19,103.16
2014-03-18,103.29
2014-03-17,103.85
2014-03-14,103.83
2014-03-13,103.71
2014-03-12,103.75
2014-03-11,104.38
2014-03-10,104.48
2014-03-07,104.98
2014-03-06,104.37
2014-03-05,105.24
2014-03-04,106.30
2014-03-03,107.80
2014-02-28,105.92
2014-02-27,106.10
2014-02-26,106.49
2014-02-25,106.55
2014-02-24,106.70
2014-02-21,106.68
2014-02-20,106.79
2014-02-19,107.15
2014-02-18,106.53
2014-02-17,106.11
2014-02-14,105.58
2014-02-13,105.27
2014-02-12,105.46
2014-02-11,105.30
2014-02-10,105.52
2014-02-07,104.41
2014-02-06,103.34
2014-02-05,102.63
2014-02-04,102.55
2014-02-03,102.55
2014-01-31,104.45
2014-01-30,105.09
2014-01-29,104.57
2014-01-28,104.67
2014-01-27,104.62
2014-01-24,105.04
2014-01-23,106.11
2014-01-22,105.62
2014-01-21,105.26
2014-01-20,104.17
2014-01-17,103.98
2014-01-16,104.39
2014-01-15,104.28
2014-01-14,103.92
2014-01-13,103.93
2014-01-10,104.09
2014-01-09,104.28
2014-01-08,104.43
2014-01-07,104.51
2014-01-06,104.33
2014-01-03,104.99
2014-01-02,106.85
2013-12-31,107.94
2013-12-30,108.57
2013-12-27,109.35
2013-12-24,108.76
2013-12-23,108.73
2013-12-20,108.15
2013-12-19,107.49
2013-12-18,106.74
2013-12-17,106.57
2013-12-16,106.92
2013-12-15,105.95
2013-12-14,105.95
2013-12-13,105.95
2013-12-12,106.96
2013-12-11,106.81
2013-12-10,106.83
2013-12-09,107.72
2013-12-08,108.00
2013-12-07,108.00
2013-12-06,108.00
2013-12-05,108.22
2013-12-04,108.92
2013-12-03,108.08
2013-12-02,106.74
2013-12-01,107.07
2013-11-30,107.07
2013-11-29,107.07
2013-11-28,107.34
2013-11-27,107.14
2013-11-26,107.36
2013-11-25,106.07
2013-11-24,106.73
2013-11-23,106.73
2013-11-22,106.73
2013-11-21,105.40
2013-11-20,104.58
2013-11-19,105.02
2013-11-18,105.04
2013-11-17,105.24
2013-11-16,105.24
2013-11-15,105.24
2013-11-14,104.67
2013-11-13,103.52
2013-11-12,103.60
2013-11-11,103.39
2013-11-10,102.12
2013-11-09,102.12
2013-11-08,102.12
2013-11-07,102.64
2013-11-06,103.82
2013-11-05,103.83
2013-11-04,104.22
2013-11-03,105.53
2013-11-02,105.53
2013-11-01,105.53
2013-10-31,106.75
